Date,Value
2016-01-28,1122.55
2016-01-27,1120.55
2016-01-26,1116.54
2016-01-25,1109.53
2016-01-22,1096.51
2016-01-21,1102.52
2016-01-20,1102.52
2016-01-19,1090.5
2016-01-18,1092.5
2016-01-15,1096.51
2016-01-14,1086.49
2016-01-13,1087.49
2016-01-12,1089.5
2016-01-11,1105.53
2016-01-08,1105.02
2016-01-07,1105.53
2016-01-06,1090.5
2016-01-05,1077.98
2016-01-04,1080.48
2015-12-31,1063.95
2015-12-30,1063.45
2015-12-29,1074.47
2015-12-28,1073.47
2015-12-23,1072.47
2015-12-22,1075.47
2015-12-21,1075.47
2015-12-18,1061.45
2015-12-17,1062.45
2015-12-16,1076.48
2015-12-15,1065.46
2015-12-14,1074.97
2015-12-11,1066.46
2015-12-10,1074.97
2015-12-09,1086.49
2015-12-08,1077.48
2015-12-07,1083.49
2015-12-04,1075.47
2015-12-03,1057.44
2015-12-02,1061.45
2015-12-01,1071.47
2015-11-30,1064.46
2015-11-25,1074.47
2015-11-24,1079.48
2015-11-23,1074.47
2015-11-20,1084.49
2015-11-19,1074.47
2015-11-18,1070.97
2015-11-17,1081.48
2015-11-16,1088.5
2015-11-13,1083.49
2015-11-12,1077.48
2015-11-11,1090.5
2015-11-10,1090.5
2015-11-09,1093.5
2015-11-06,1087.49
2015-11-05,1113.54
2015-11-04,1122.55
2015-11-03,1127.56
2015-11-02,1138.58
2015-10-30,1146.59
2015-10-29,1154.61
2015-10-28,1177.65
2015-10-27,1165.63
2015-10-26,1168.63
2015-10-23,1175.64
2015-10-22,1168.63
2015-10-21,1177.65
2015-10-20,1175.64
2015-10-19,1179.15
2015-10-16,1185.66
2015-10-15,1184.66
2015-10-14,1176.65
2015-10-13,1165.63
2015-10-12,1167.63
2015-10-09,1156.61
2015-10-08,1142.09
2015-10-07,1149.6
2015-10-06,1146.59
2015-10-05,1138.58
2015-10-02,1137.58
2015-10-01,1118.55
2015-09-30,1117.55
2015-09-29,1132.57
2015-09-28,1132.57
2015-09-25,1148.6
2015-09-24,1144.59
2015-09-23,1133.57
2015-09-22,1125.56
2015-09-21,1136.58
2015-09-19,1141.59
2015-09-18,1141.59
2015-09-17,1119.55
2015-09-16,1115.54
2015-09-15,1107.53
2015-09-14,1107.53
2015-09-13,1107.53
2015-09-12,1107.53
2015-09-11,1107.53
2015-09-10,1116.04
2015-09-09,1115.04
2015-09-08,1126.56
2015-09-06,1122.55
2015-09-05,1122.55
2015-09-04,1122.55
2015-09-03,1126.56
2015-09-02,1140.08
2015-09-01,1147.6
2015-08-31,1130.57
2015-08-30,1131.57
2015-08-29,1131.57
2015-08-28,1131.57
2015-08-27,1125.56
2015-08-26,1128.56
2015-08-25,1151.1
2015-08-24,1167.63
2015-08-23,1161.42
2015-08-21,1161.42
2015-08-20,1146.8
2015-08-19,1124.66
2015-08-18,1118.55
2015-08-17,1122.35
2015-08-14,1121.15
2015-08-13,1119.05
2015-08-12,1118.55
2015-08-11,1110.03
2015-08-10,1099.01
2015-08-07,1088.5
2015-08-06,1089.75
2015-08-05,1091.5
2015-08-04,1094.51
2015-08-03,1094.01
2015-07-31,1096.51
2015-07-30,1089.2
2015-07-29,1098.01
2015-07-28,1098.01
2015-07-27,1097.01
2015-07-24,1084.49
2015-07-23,1098.51
2015-07-22,1094.01
2015-07-21,1107.53
2015-07-20,1112.54
2015-07-17,1139.58
2015-07-16,1148.6
2015-07-15,1151.6
2015-07-14,1159.82
2015-07-13,1155.36
2015-07-10,1163.12
2015-07-09,1169.63
2015-07-08,1165.63
2015-07-07,1159.62
2015-07-06,1167.63
2015-07-02,1169.43
2015-07-01,1172.64
2015-06-30,1173.64
2015-06-29,1182.46
2015-06-26,1174.44
2015-06-25,1176.25
2015-06-24,1175.84
2015-06-23,1179.25
2015-06-22,1193.07
2015-06-19,1204.69
2015-06-18,1204.39
2015-06-17,1181.05
2015-06-16,1181.85
2015-06-15,1182.46
2015-06-12,1180.65
2015-06-11,1184.06
2015-06-10,1192.77
2015-06-09,1183.16
2015-06-08,1175.94
2015-06-05,1169.53
2015-06-04,1181.45
2015-06-03,1193.67
2015-06-02,1195.68
2015-06-01,1194.58
2015-05-29,1193.42
2015-05-28,1189.67
2015-05-27,1188.97
2015-05-26,1190.07
2015-05-22,1205.7
2015-05-21,1207.2
2015-05-20,1212.71
2015-05-19,1217.82
2015-05-18,1230.74
2015-05-15,1220.92
2015-05-14,1223.73
2015-05-13,1207.9
2015-05-12,1193.67
2015-05-11,1192.67
2015-05-08,1193.98
2015-05-07,1186.36
2015-05-06,1196.68
2015-05-05,1200.19
2015-05-04,1193.67
2015-05-01,1173.64
2015-04-30,1191.67
2015-04-29,1211.71
2015-04-28,1207.2
2015-04-27,1189.87
2015-04-24,1192.17
2015-04-23,1191.47
2015-04-22,1199.48
